Date,Open,High,Low,Close,Adj Close,Volume
2015-05-27,32.584999,33.064999,32.512501,33.009998,30.129501,183332800
2015-05-28,32.965000,32.987499,32.775002,32.945000,30.070181,122933200
2015-05-29,32.807499,32.862499,32.474998,32.570000,29.727898,203538000
2015-06-01,32.570000,32.847500,32.512501,32.634998,29.787231,128451200
2015-06-02,32.465000,32.665001,32.330002,32.490002,29.654886,134670400
2015-06-03,32.665001,32.735001,32.474998,32.529999,29.691395,123934000
2015-06-04,32.395000,32.645000,32.227501,32.340000,29.517967,153800400
2015-06-05,32.375000,32.422501,32.090000,32.162498,29.355957,142507200
2015-06-08,32.224998,32.302502,31.707500,31.950001,29.162001,210699200
2015-06-09,31.674999,32.020000,31.405001,31.855000,29.075293,224301600
2015-06-10,31.980000,32.334999,31.962500,32.220001,29.408442,156349200
2015-06-11,32.294998,32.544998,32.119999,32.147499,29.342262,141563600
2015-06-12,32.047501,32.082500,31.777500,31.792500,29.018250,147544800
2015-06-15,31.525000,31.809999,31.427500,31.730000,28.961201,175955600
2015-06-16,31.757500,31.962500,31.592501,31.900000,29.116365,125976400
2015-06-17,31.930000,31.969999,31.684999,31.825001,29.047911,131672400
2015-06-18,31.807501,32.077499,31.805000,31.969999,29.180252,141628800
2015-06-19,31.927500,31.955000,31.600000,31.650000,28.888184,218867600
2015-06-22,31.872499,32.014999,31.770000,31.902500,29.118647,136157200
2015-06-23,31.870001,31.902500,31.719999,31.757500,28.986300,121075600
2015-06-24,31.802500,32.450001,31.780001,32.027500,29.232740,221123600
2015-06-25,32.215000,32.299999,31.875000,31.875000,29.093546,127752400
2015-06-26,31.917500,31.997499,31.627501,31.687500,28.922407,176267200
2015-06-29,31.365000,31.617500,31.120001,31.132500,28.415838,196645600
2015-06-30,31.392500,31.530001,31.215000,31.357500,28.621204,177482800
2015-07-01,31.725000,31.735001,31.497499,31.650000,28.888184,120955200
2015-07-02,31.607500,31.672501,31.442499,31.610001,28.851677,108844000
2015-07-06,31.235001,31.557501,31.212500,31.500000,28.751270,112241600
2015-07-07,31.472500,31.537500,30.942499,31.422501,28.680538,187787200
2015-07-08,31.120001,31.160000,30.635000,30.642500,27.968594,243046400
2015-07-09,30.962500,31.014999,29.805000,30.017500,27.398136,314380000
